code_b10,name_b10,w_b10,code_b23,name_b23,w_b23
_0111101,Arroz,0.63244,_0111101,Arroz,0.522366964
_0111201,Harina,0.17119,_0111201,Harina de trigo,0.055904629
_0111201,Harina,0.17119,_0111202,Harina de maíz,0.170135799
_0111202,Maíz,1.33671,_0111102,Maíz,0.711087209
_0111203,Cereales,0.93761,_0111401,Cereales de bolsa o caja,0.198206505
_0111203,Cereales,0.93761,_0111402,Avena/mosh,0.087811323
_0111203,Cereales,0.93761,_0130001,Servicio de molienda de maíz,0.382231577
_0111203,Cereales,0.93761,_0111203,Harina para atoles,0.143783212
_0111301,Pan,2.61053,_0111301,Pan,1.077537933
_0111301,Pan,2.61053,_0111302,Pan dulce,1.069826458
_0111301,Pan,2.61053,_0111306,Otros productos de panadería,0.174884548
_0111302,Galletas,0.08589,_0111303,Galletas,0.146922489
_0111303,Productos de repostería,0.1179,_0111305,Productos de panadería/pastelería,0.064805182
_0111401,Pasta,0.47925,_0111501,Espagueti,0.186721512
_0111401,Pasta,0.47925,_0111502,Fideos en todas sus formas (Excepto macarrones y espagueti),0.25338584
_0111401,Pasta,0.47925,_0111503,Chao mein,0.071823246
_0111501,Productos de tortillería,3.01265,_0111304,Tortillas,3.941692351
_0112101,Carne de res,2.31192,_0112201,Carne fresca de res,2.455807926
_0112101,Carne de res,2.31192,_0112402,Menudos de res,0.119783518
_0112201,Carne de cerdo,0.31303,_0112202,Carne fresca de cerdo,0.620050441
_0112201,Carne de cerdo,0.31303,_0112506,Carne de cerdo marinada,0.134718266
_0112301,Carne de pollo,2.34753,_0112203,Carne fresca de pollo,3.044390701
_0112301,Carne de pollo,2.34753,_0112101,"Pollos, gallinas y gallos vivos",0.036286131
_0112301,Carne de pollo,2.34753,_0112401,Menudos de pollo,0.099730665
_0112301,Carne de pollo,2.34753,_0112504,Medallones y milanesas de pollo,0.089201708
_0112401,Embutidos,0.68868,_0112501,Salchichas y productos similares de carne,0.307670364
_0112401,Embutidos,0.68868,_0112502,"Jamón (pollo, res, cerdo, mixto, etc.)",0.144916207
_0112401,Embutidos,0.68868,_0112503,Longanizas y chorizos (de todo tipo),0.2914781
_0112401,Embutidos,0.68868,_0112505,"Tortas de carne (pollo, res y cerdo)",0.054496632
_0113101,Pescados,0.29265,_0113101,"Pescado entero, fresco, refrigerado o congelado",0.316853948
_0113101,Pescados,0.29265,_0113201,Pescado seco,0.025935798
_0113201,Mariscos,0.02759,_0113401,"Camarones frescos, refrigerados o congelados",0.104357402
_0114101,Leche,0.67302,_0114101,Leche líquida entera,0.210339765
_0114101,Leche,0.67302,_0114201,Leche líquida baja en grasas,0.026172417
_0114101,Leche,0.67302,_0114301,Leche en polvo,0.230939736
_0114102,Yogur,0.04854,_0114601,Yogur industrializado,0.063217918
_0114301,Queso,0.78757,_0114302,Crema de leche,0.251114304
_0114301,Queso,0.78757,_0114501,Queso fresco,0.602041836
_0114301,Queso,0.78757,_0114502,Queso crema,0.030033955
_0114301,Quesos,0.78757,_0114503,Queso mozzarella,0.023041984
_0114301,Queso,0.78757,_0114504,Queso seco,0.025616272
_0114401,Huevos,1.6646,_0114801,Huevos de gallina,2.097248496
_0115101,Margarina,0.06572,_0115301,Margarina vegetal regular,0.047279105
_0115201,Aceites,0.47821,_0115101,Aceite de origen vegetal,0.45970756
_0116101,Aguacate,0.16707,_0116101,Aguacates frescos,0.202591453
_0116102,Banano,0.10142,_0116102,Bananos frescos,0.164186056
_0116103,Manzana,0.07284,_0116301,Manzanas frescas,0.15197359
_0116104,Naranja,0.06213,_0116202,Naranjas frescas,0.06547132
